person_id,arrest_id_x,charge_degree,offense_category,arrest_date_event,arrest_id_y,age_at_arrest,sex,race,arrest_date_univ,y,current_charge_felony,num_fel_arrests_last_year
58583,3785280,felony,drug,2018-05-10,3982258,27.813698630136987,M,Black,2018-04-07,1,1,1
26596,7758199,misdemeanor,other,2015-11-14,7370720,46.40547945205479,M,mixed,2016-03-09,0,0,0
539268,3516113,misdemeanor,drug,2018-06-29,3993384,44.24383561643835,M,White,2018-04-05,0,0,0
48211,8752022,misdemeanor,other,2015-01-06,3250281,34.2,M,White,2018-07-30,0,0,0
64186,6387761,misdemeanor,drug,2016-11-25,6203506,35.85753424657534,M,Black,2017-01-24,0,0,0
253477,7620578,misdemeanor,other,2015-12-26,7019251,51.3013698630137,M,White,2016-05-24,0,0,1
14773,6131689,misdemeanor,violent,2017-02-10,6072762,28.04383561643836,M,White,2017-02-25,0,0,0
1309468,6627997,misdemeanor,drug,2016-09-16,7307171,35.24931506849315,F,White,2016-03-26,0,0,0
1297492,27361321,misdemeanor,other,2012-04-15,6957590,22.775342465753425,M,White,2016-06-13,0,0,0
91690,5540459,misdemeanor,property,2017-07-07,5883395,25.665753424657535,M,Black,2017-04-17,0,0,0
3097517,4415800,misdemeanor,other,2018-01-31,3864977,37.23561643835617,M,,2018-04-26,0,0,1
1072559,3726445,misdemeanor,property,2018-05-22,6845142,55.02739726027397,M,White,2016-07-15,0,0,0
71257,5583602,felony,other,2017-06-27,2922536,33.320547945205476,M,Black,2018-10-02,0,1,0
49882,7374051,felony,drug,2016-03-08,3596356,35.18082191780822,M,Black,2018-06-14,1,1,4
243705,6532455,felony,property,2016-10-17,6532455,18.654794520547945,M,Black,2016-10-17,0,1,0
41991,8733899,felony,property,2015-01-13,6778366,24.93972602739726,M,White,2016-08-05,1,1,0
1435646,8205741,misdemeanor,property,2015-07-01,4155587,32.99452054794521,F,White,2018-03-20,0,0,0
2248903,7276075,misdemeanor,property,2016-04-04,7276076,33.21095890410959,M,White,2016-04-04,0,0,0
1297492,11053617,misdemeanor,property,2012-11-08,6957590,22.775342465753425,M,White,2016-06-13,0,0,0
3462861,9939740,misdemeanor,other,2013-12-04,6676950,71.27123287671233,M,Black,2016-09-02,0,0,0
909645,3875011,misdemeanor,violent,2018-04-24,5568205,61.298630136986304,F,Black,2017-06-30,0,0,0
81290,6099624,felony,violent,2017-02-17,4524599,20.134246575342463,M,Black,2018-01-11,0,1,2
15340,10702892,misdemeanor,other,2013-03-16,5697246,39.5972602739726,M,White,2017-05-31,1,0,1
69058,4376215,misdemeanor,other,2018-02-06,7255033,49.24931506849315,F,mixed,2016-04-10,1,0,0
28614,6045036,misdemeanor,drug,2017-03-05,6045036,25.895890410958906,M,Black,2017-03-05,0,0,0
